energy_consumed,num_num_features,num_cat_features,number_of_instances,model
2.219807738753351e-06,0,5,128000.0,3.0
5.771109642583699e-07,0,5,63999.999999999985,3.0
2.5837473177454567e-06,2,2,320000.0,3.0
1.985272356377424e-06,2,2,256000.0,3.0
1.6203995659019988e-06,2,2,192000.0,3.0
1.108612798872994e-06,2,2,128000.0,3.0
1.2180457916845928e-06,2,2,63999.999999999985,3.0
4.116426509312356e-06,1,2,320000.0,3.0
2.2317395596022355e-06,1,2,256000.0,3.0
1.5461620248493725e-06,1,2,192000.0,3.0
1.1426091466344385e-06,1,2,128000.0,3.0
6.012864871138391e-07,1,2,63999.999999999985,3.0
3.869092831550032e-06,0,2,320000.0,3.0
3.603007905916735e-06,0,2,256000.0,3.0
1.5040883194179362e-06,0,2,192000.0,3.0
9.922082908903775e-07,0,2,128000.0,3.0
6.150211547189126e-07,0,2,63999.999999999985,3.0
2.023821313483154e-06,0,1,320000.0,3.0
1.533555181030819e-06,0,1,256000.0,3.0
2.331685451704857e-06,0,1,192000.0,3.0
7.876977984974727e-07,0,1,128000.0,3.0
4.320143350544944e-07,0,1,63999.999999999985,3.0
5.398671856094476e-06,4,13,320000.0,3.0
4.083861808329756e-06,4,13,256000.0,3.0
3.712459466144777e-06,4,13,192000.0,3.0
3.186187181425264e-06,4,13,128000.0,3.0
1.0503220364389183e-06,4,13,63999.999999999985,3.0
5.0273769217672754e-06,3,13,320000.0,3.0
3.62374802907905e-06,3,13,256000.0,3.0
2.656257064413441e-06,3,13,192000.0,3.0
1.738046237077937e-06,3,13,128000.0,3.0
1.2859782699681291e-06,3,13,63999.999999999985,3.0
4.617230577923377e-06,4,11,320000.0,3.0
3.4283523733522416e-06,4,11,256000.0,3.0
2.457324209482989e-06,4,11,192000.0,3.0
1.7422023673731248e-06,4,11,128000.0,3.0
9.435511525254016e-07,4,11,63999.999999999985,3.0
7.425655714787165e-06,3,11,320000.0,3.0
3.598422522704444e-06,3,11,256000.0,3.0
2.634840808234332e-06,3,11,192000.0,3.0
1.781491640433804e-06,3,11,128000.0,3.0
9.036090710667268e-07,3,11,63999.999999999985,3.0
4.544507261654632e-06,3,10,320000.0,3.0
6.115590195154949e-06,3,10,256000.0,3.0
2.473603202409752e-06,3,10,192000.0,3.0
1.718961216849064e-06,3,10,128000.0,3.0
9.242648612232392e-07,3,10,63999.999999999985,3.0
3.3841199529351547e-06,3,9,320000.0,3.0
3.092018166752395e-06,3,9,256000.0,3.0
3.675498563083264e-06,3,9,192000.0,3.0
2.0593177038566386e-06,3,9,128000.0,3.0
6.854514697825683e-07,3,9,63999.999999999985,3.0
4.023592422967997e-06,3,8,320000.0,3.0
3.0307137433807286e-06,3,8,256000.0,3.0
